,Unnamed: 0,Index,Name,Description,Employees,Funding,City,Subcountry,Latitude,Longitude,PPDesc,Dist1,Dist2,DistFromOrigin,Labels
1664,1664,1666,tac   energy and environment solutions,the solutions we bring treat the wastewater from effluents that impose major health and environmental implications. land reclamation and water recyclability and on top of the many benefits achieved with our solutions. in addition to the economic gain where drastically less amount of chemicals are needed with our nanomaterials to achieve the same efficiency with the current existing technologies.,1.0,,calgary,alberta,51.05011,114.08529,solutions bring treat wastewater wastewater effluents impose major health environmental implications land reclamation water water recyclability top many benefits achieved solutions addition economic gain drastically less amount chemicals needed nanomaterials achieve efficiency current existing technologies,0.7379014492034912,0.7789314985275269,1.151232828134951,Target
1670,1670,1672,ontario safety standards ,"water purification services, heating   air conditioning/hvac, water heater installation/repair ",0.0,,ottawa,ontario,45.41117,75.69811999999997,water water purification services heating air conditioning/hvac water water heater installation/repair,0.738963782787323,0.8010281324386597,1.1877135412295168,Target
1671,1671,1673,solarsteam inc.  ," the technology that solarsteam will use is called enclosed trough, which is a system specifically designed for the oil industry and its unique requirements. enclosed trough technology encloses lightweight mirrors in a agricultural greenhouse, concentrating the sun   s energy to heat water and create steam. the steam is then injected into an oil reservoir to aid the extraction of heavy crude. enclosed troughs integrate readily with existing oilfield operations, accepting the same feed water as once through steam generators  otsgs  and generating nominally 80  dry and between 500 1000 psi. solarsteam will build its systems based on a 5 hectare, 25mwt standard block system that can be scaled to any capacity. ",1.0,,calgary,alberta,51.05011,114.08529,technology solarsteam use called enclosed trough system specifically designed oil industry unique requirements enclosed trough technology encloses lightweight mirrors agricultural greenhouse concentrating sun energy heat water water create steam steam injected oil reservoir aid extraction heavy crude enclosed troughs integrate readily existing oilfield operations accepting feed water water steam generators otsgs generating nominally 80 dry 500 1000 psi solarsteam build systems based 5 hectare 25mwt standard block system scaled capacity,0.7319058775901794,0.8058841824531555,1.1851355291792416,Target
2096,2096,2098,aquatech waterproofing ,"aquatech waterproofing has been keeping water out of homes for over 25 years. we are a privately owned and fully insured company dedicated to providing the best and most affordable waterproofing services in toronto. no matter what problems your home or business is having with water, we are confident that we can provide the solution for you. we offer a wide variety of home waterproofing services throughout the greater toronto area. whether you need drainage solutions, foundation repair, a new sump pump, or any other service related to waterproofing, we   ve got you covered. aquatech is available 24 hours per day to provide you with the services you need. we know problems sometimes happen overnight and at the most inconvenient times. you can always count on us to be there to help find a solution. if your basement is flooding at midnight, you can   t wait until noon the next day to find a fix. that   s why we make ourselves available around the clock. ",10.0,,north york,ontario,43.76681,79.4163,aquatech waterproofing keeping water water homes 25 years privately owned fully insured company dedicated providing best affordable waterproofing services toronto matter problems home business water water confident provide solution offer wide variety home waterproofing services throughout greater toronto area whether need drainage solutions foundation repair new sump pump service related waterproofing got covered aquatech available 24 hours per day provide services need know problems sometimes happen overnight inconvenient times always count us help find solution basement flooding midnight wait noon next day find fix make available around clock,0.7549611330032349,0.7873914241790771,1.1899515672162835,Target
2357,2357,2359,splashcheck ,"splashcheck is a smart device you leave in your pool or hot tub that monitors the chemical balance in real time 24/7. it notifies you when chemicals are needed and tells you how much to add. you can even buy them with one click. splashcheck makes it really easy to manage your pools or hot tub, you never have to think about getting your water tested again. ",1.0,,toronto,ontario,43.70011,79.4163,splashcheck smart device leave pool hot tub monitors chemical balance real time 24/7 notifies chemicals needed tells much add even buy one click splashcheck makes really easy manage pools hot tub never think getting water water tested,0.7696070075035095,0.8246781826019287,1.272389050858127,Target
2440,2440,2442,connect control systems ,"connect control systems inc. focus is to deliver the highest quality, most cost effective industrial automation solutions, services, products and support. our experience as systems integrators allows us to acheive a level of standards that place us among the leading control and automation contractors in the industy. we have customer support operations in fort saint john, hinton and st. albert. our customized panel shop is located at our headquarters in st. albert, alberta. our expertise in control systems automation is diverse and we have experience in the following areas conventional oil and gas,power generation, waste water   water treatment, industrial process applications. our electrical panel fabrication shop is capable of meeting any need for the engineering, design, and fabrication of control panels and systems. ",0.0,,edmonton,alberta,53.55014,113.46871000000002,connect control systems inc. focus deliver highest quality cost effective industrial automation solutions services products support experience systems integrators allows us acheive level standards place us among leading control automation contractors industy customer support operations fort saint john hinton st. albert customized panel shop located headquarters st. albert alberta expertise control systems automation diverse experience following areas conventional oil gas power generation waste water water water water treatment industrial process applications electrical panel fabrication shop capable meeting need engineering design fabrication control panels systems,0.6494638323783875,0.6692734360694885,0.8697302017958819,Target
2469,2469,2471,rafter p ranch ,"the green rush is on. the cannabis industry is the fastest growing sector in the united states business market, and as an aspiring canadian cultivation venture, we at rafter p ranch believe we can see the curves to come for canadian legalization. indoor cultivations are expensive   lighting, cooling, electronics are all costly   leave cultivations with an enormous carbon footprint. at rafter p ranch, we believe we see the future of cannabis and it is indeed green. we are an eco friendly medical marijuana cultivation farm that utilizes advanced aeroponics methods to reduce water usage by up to 98  and requires 40  less energy to produce vs conventional growing methods. additionally, the farm has a 500kw solar and wind component to offset costs associated with production, reducing our energy footprint significantly. we also believe in giving back, guaranteeing a reuen back to local alberta communities by injecting funds that support local intiratives and growth programs. ",1.0,,calgary,alberta,51.05011,114.08529,green rush cannabis industry fastest growing sector united states business market aspiring canadian cultivation venture rafter p ranch believe see curves come canadian legalization indoor cultivations expensive lighting cooling electronics costly leave cultivations enormous carbon footprint rafter p ranch believe see future cannabis indeed green eco friendly medical marijuana cultivation farm utilizes advanced aeroponics methods reduce water water usage 98 requires 40 less energy produce vs conventional growing methods additionally farm 500kw solar wind component offset costs associated production reducing energy footprint significantly also believe giving back guaranteeing reuen back local alberta communities injecting funds support local intiratives growth programs,0.6659039258956909,0.9018268585205078,1.2567197212722618,Target
3172,3172,3175,ecoability ,"a home based scientific/technological solution that make you and all your family 100  sustainable in energy, communications, water, food, health, education and others wealth s sources. ",0.0,,toronto,ontario,43.70011,79.4163,home based scientific/technological solution make family 100 sustainable energy communications water water food health education others wealth sources,0.7076908349990845,0.8248528838157654,1.181208597880886,Target
3372,3372,3376,nfluids  ,"nfluids design and manufacture commercial levels of nanoparticles using a bottom up approach which gives us fine control over the size, shape and functionality of the end product. nfluids technology is a true platform technology in that there are multiple applications   fracturing   lubrication   cementing   corrosion control   enhanced oil recovery   conformance control   oil   water separation   marine   land spillage nfluids first commercial product  nforcer  is a nanoparticle drilling fluid additive which is compatible with all drilling fluid types, bringing the end user multiple benefits in one product with the potential to replace other products or form the backbone of the next generation in drilling fluids. in this respect nforcer is truly a disruptive technology. key drilling benefits  up to 70  reduction in drilling fluid loss during drilling up to 60  increase in well bore up to 50  increase in lubricity 15 20   less oil on cuttings ",1.0,,calgary,alberta,51.05011,114.08529,nfluids design manufacture commercial levels nanoparticles using bottom approach gives us fine control size shape functionality end product nfluids technology true platform technology multiple applications fracturing lubrication cementing corrosion control enhanced oil recovery conformance control oil water water separation marine land spillage nfluids first commercial product nforcer nanoparticle drilling fluid additive compatible drilling fluid types bringing end user multiple benefits one product potential replace products form backbone next generation drilling fluids respect nforcer truly disruptive technology key drilling benefits 70 reduction drilling fluid loss drilling 60 increase well bore 50 increase lubricity 15 20 less oil cuttings,0.7433328032493591,0.8383685350418091,1.2554054569346995,Target
3549,3549,3553,yirego ,"the drumi is a small, foot powered washing machine that requires very little water and no electricity. ",1.0,,toronto,ontario,43.70011,79.4163,drumi small foot powered washing machine requires little water water electricity,0.7694557905197144,0.7883370518684387,1.21353752091294,Target
3957,3957,3961,alient energy,salient energy s zinc ion batteries are half the cost and last twice as long as lithium ion batteries. they also use an inherently safe water based chemistry. this makes them perfectly suited for the large and rapidly growing grid storage market.,0.0,,waterloo,ontario,43.466874,80.524635,salient energy zinc ion batteries half cost last twice long lithium ion batteries also use inherently safe water water based chemistry makes perfectly suited large rapidly growing grid storage market,0.7400608062744141,0.8096321821212769,1.2031942673099962,Target
3970,3970,3974,ionomr ,"for device integrators in water treatment, grid level energy storage, and clean energy generation, iononmr s go to market is aemion, the world s most durable, high performance anion exchange membrane  aem . aems are thin films in the middle of electrochemical devices that enable them to work, and also the pain point driving the performance, durability, and resultant cost of advanced electrochemical technologies. we offer order of magnitude improvements, and are backed by the pre eminent researcher in the field and a granted broad, blocking patent family related to the only known alkaline stable aem. aemion will drastically improve established water treatment technologies and turn the precious metal free hydrogen economy into a cost effective reality. ionomr is positioning as the world s most flexible advanced membrane company. we have proven product market fit and motivated market pull with the large companies in each segmented market identified, and are scaling to fill pre orders. ",10.0,,vancouver,british columbia,49.24966,123.11934,device integrators water water treatment grid level energy storage clean energy generation iononmr go market aemion world durable high performance anion exchange membrane aem aems thin films middle electrochemical devices enable work also pain point driving performance durability resultant cost advanced electrochemical technologies offer order magnitude improvements backed pre eminent researcher field granted broad blocking patent family related known alkaline stable aem aemion drastically improve established water water treatment technologies turn precious metal free hydrogen economy cost effective reality ionomr positioning world flexible advanced membrane company proven product market fit motivated market pull large companies segmented market identified scaling fill pre orders,0.7115518450737,0.7522780895233154,1.072228352204636,Target
4225,4225,4229,ontario genomics ,"ontario genomics is a publicly funded not for profit organization that works with companies, researchers, and policymakers to support the early stages of moving genomics technologies from the lab to solve real world problems in the clinic and industry. our mission is to spark, support and sustain ontario s genomics technology pipeline as a key driver of the province s economy. working in health and informatics, agriculture, mining, bioproducts, forestry, cleantech and water, we are helping companies improve productivity, performance and competitiveness. we work with startup companies to help grow their business by providing business advice, connecting them with our network of industry partners and funders, and providing access to genome canada funding for joint projects with academic researchers as well as proof of concept funding to stimulate follow on investment. ",10.0,,toronto,ontario,43.70011,79.4163,ontario genomics publicly funded profit organization works companies researchers policymakers support early stages moving genomics technologies lab solve real world problems clinic industry mission spark support sustain ontario genomics technology pipeline key driver province economy working health informatics agriculture mining bioproducts forestry cleantech water water helping companies improve productivity performance competitiveness work startup companies help grow business providing business advice connecting network industry partners funders providing access genome canada funding joint projects academic researchers well proof concept funding stimulate follow investment,0.7310518026351929,0.7616431713104248,1.114537058539966,Target
4248,4248,4252,anderers,1. swarm of underwater autonomous vehicles to clean up water bodies from oil spills and other pollutants. 2. a mobile application to enable backpackers to meet similar kinds of people to the places they re traveling.,0.0,,toronto,ontario,43.70011,79.4163,1. swarm underwater autonomous vehicles clean water water bodies oil spills pollutants 2. mobile application enable backpackers meet similar kinds people places traveling,0.7625105977058411,0.8114209771156311,1.2398264137170045,Target
4494,4494,4498,the stepson series ,"the stepson series is a gripping new drama series that explores the age old question  is blood thicker than water...and what are the limits of loyalty to family  i am seeking financing from a single investor in the amount of  3,000, which is the estimated total budget for the pilot episode. our plan is to approach all major cable networks including amc, fx, usa and others. we believe this program would fit in perfectly among the programming on networks such as these, which have proven themselves unafraid to take chances on bold concepts and groundbreaking dramas such as the stepson series. in return for your participation, you will receive 20  of all profits in the event that the show gets picked up by a network. we have enclosed a preliminary draft of the script for the pilot episode of the stepson series for your review. i look forward to your reply. sincerely, christopher meneses screenwriter and executive producer ",0.0,,toronto,ontario,43.70011,79.4163,"stepson series gripping new drama series explores age old question blood thicker water water ... limits loyalty family seeking financing single investor amount 3,000 estimated total budget pilot episode plan approach major cable networks including amc fx usa others believe program would fit perfectly among programming networks proven unafraid take chances bold concepts groundbreaking dramas stepson series return participation receive 20 profits event show gets picked network enclosed preliminary draft script pilot episode stepson series review look forward reply sincerely christopher meneses screenwriter executive producer",0.6635990738868713,0.9247426986694336,1.2955127896059402,Target
4529,4529,4533,alert labs ,"alert labs    insight series protects our customers    properties by gathering and analyzing real time data using attractive, reliable, and easy to install iot hardware and software. sensors can be installed by anyone in less than 2 minutes, and then they are on the alert for water leaks, floods, power issues, and more. alert labs monitors your water usage, power, heating/cooling, temperature, humidity, sump pump, and water softener. customers receive real time alerts to their smartphones for emergency events  e.g. a flood , and gain insight with long term big data analytics  i.e. escalating water use or inefficient equipment  in order to avoid damage to their properties and to save money, hassle, and natural resources. sensors are cellular, so no wi fi is required. battery back up ensures sensors continue to monitor during a power outage. our target audiences are property managers, landlords, cottage owners, and home owners. ",10.0,,kitchener,ontario,43.42537,80.5112,alert labs insight series protects customers properties gathering analyzing real time data using attractive reliable easy install iot hardware software sensors installed anyone less 2 minutes alert water water leaks floods power issues alert labs monitors water water usage power heating/cooling temperature humidity sump pump water water softener customers receive real time alerts smartphones emergency events e.g flood gain insight long term big data analytics i.e escalating water water use inefficient equipment order avoid damage properties save money hassle natural resources sensors cellular wi fi required battery back ensures sensors continue monitor power outage target audiences property managers landlords cottage owners home owners,0.6659039258956909,0.6873152256011963,0.9158302578665172,Target
4558,4558,4562,agriprotein north america ,"apna is rolling out processes developed in south africa over the last seven years and adapted for the north american market. we take waste that would end up in a landfill, feed it to flies on a large scale, and harvest the larvae into magmeal, a fishmeal alternative for use as aquaculture, livestock, and pet feed. magmeal has superior protein and feed qualities to fishmeal and soy, does not take fish out of the ocean, does not require intensive land or water use, and recycles organic waste with near 100  efficiency. ",0.0,,toronto,ontario,43.70011,79.4163,apna rolling processes developed south africa last seven years adapted north american market take waste would end landfill feed flies large scale harvest larvae magmeal fishmeal alternative use aquaculture livestock pet feed magmeal superior protein feed qualities fishmeal soy take fish ocean require intensive land water water use recycles organic waste near 100 efficiency,0.6873152256011963,0.7920300364494324,1.0997137979813125,Target
4852,4852,4856,nutra one ,"nutra one develops and commercializes nutra oxygenated water products for the sport, natural lifestyle and health markets. with our unique process, we bio fix more than 1  of oxygen to water, thus naturally creating water based products with extraordinary properties and superior health benefits  the addition of oxygen reduces the resistance caused by water   s    surface tension    to penetrate cells. charging the blood with up to 40  more oxygen, nutra one products provide the ultimate source of energy to the body to increase its performance and biological capacity. using the digestive system to absorb oxygen rich water into the blood, nutra one provides an alternative to respiration to satisfy the demand in oxygen. beyond its food and beverage  f b  market ready water product, nutra one plans to extend its product portfolio into the nutraceutical, pharmaceutical and cosmetic markets. link to document  http //nutra.one/wp content/uploads/2016/03/nutraone seedcapital teaser v1.2.pdf ",0.0,,montreal,quebec,45.50884,73.58781,nutra one develops commercializes nutra oxygenated water water products sport natural lifestyle health markets unique process bio fix 1 oxygen water water thus naturally creating water water based products extraordinary properties superior health benefits addition oxygen reduces resistance caused water water surface tension penetrate cells charging blood 40 oxygen nutra one products provide ultimate source energy body increase performance biological capacity using digestive system absorb oxygen rich water water blood nutra one provides alternative respiration satisfy demand oxygen beyond food beverage f b market ready water water product nutra one plans extend product portfolio nutraceutical pharmaceutical cosmetic markets link document http //nutra.one/wp content/uploads/2016/03/nutraone seedcapital teaser v1.2.pdf,0.7095109820365906,0.7400608062744141,1.051095830614063,Target
5213,5213,5217,inverine marine ,"inverine marine is in the startup phase of development. it is the intention of the proponent to create two companies that are highly integrated. the first company is a boat design and building company which is intended to be held as a proprietorship by the proponent. the second company is a tourism company that provides marine accommodations and access to british columbia   s inland and coastal water ways, which is intended to be a limited company with partners and investors. it will be inverine marine   s mission to grant access to the 20,000 lakes, thousands of miles of river, unlimited coastline and the most pristine wilderness on earth to fastest growing and most lucrative market in the tourism industry. this will be achieved with a cohesive, competitive and widely recognized offering. at the close of five years inverine marine will have two helicopters and 140 boats deployed accessing the pristine wilderness of british columbia. ",10.0,,vancouver,british columbia,49.24966,123.11934,"inverine marine startup phase development intention proponent create two companies highly integrated first company boat design building company intended held proprietorship proponent second company tourism company provides marine accommodations access british columbia inland coastal water water ways intended limited company partners investors inverine marine mission grant access 20,000 lakes thousands miles river unlimited coastline pristine wilderness earth fastest growing lucrative market tourism industry achieved cohesive competitive widely recognized offering close five years inverine marine two helicopters 140 boats deployed accessing pristine wilderness british columbia",0.683075487613678,0.8035123944282532,1.1122242897784886,Target
5277,5277,5281,aquatic informatics ,"aquatic informatics provides leading software solutions that address critical water data management and analysis challenges for the rapidly growing environmental monitoring industry. aquatic informatics is the trusted provider of hydrologic management solutions to hundreds of federal, state/provincial and local government departments, hydropower operators, mining companies, academic groups, and consulting organizations around the world, who collect, manage, and process large volumes of water quality or quantity data. we have forged strong international relationships with a diverse range of organizations including environment canada     water survey canada, the university of british columbia, us geological survey, and southern water of australia to name a few. we offer a full range of solutions, from standalone software packages for individual users, to enterprise wide national systems serving hundreds of users and processing environmental data from thousands of monitoring stations. ",0.0,,vancouver,british columbia,49.24966,123.11934,aquatic informatics provides leading software solutions address critical water water data management analysis challenges rapidly growing environmental monitoring industry aquatic informatics trusted provider hydrologic management solutions hundreds federal state/provincial local government departments hydropower operators mining companies academic groups consulting organizations around world collect manage process large volumes water water quality quantity data forged strong international relationships diverse range organizations including environment canada water water survey canada university british columbia us geological survey southern water water australia name offer full range solutions standalone software packages individual users enterprise wide national systems serving hundreds users processing environmental data thousands monitoring stations,0.75422203540802,0.7586598992347717,1.1444157214019306,Target
5338,5338,5342,rok innovations ,"the showcased technologies are currently past the basic research, applied research and prototype stage. as we transition over to the development stage, we seek assistance through strategic partnerships with industry leaders and organizations to assist in the commercialization of our innovations. different platforms are  self sustaining green energy projects industrial electric power generation heat reclamation aerospace, aircraft engineering and design with onboard fuel production plants. electronics construction products, new elemental plaster formula with higher durability, strength and cost efficiency than cement or concrete. bio medical and health care fresh water production for drinking, crop irrigation and other agricultural needs ",1.0,,britannia heights,ontario,45.36083,75.78833,showcased technologies currently past basic research applied research prototype stage transition development stage seek assistance strategic partnerships industry leaders organizations assist commercialization innovations different platforms self sustaining green energy projects industrial electric power generation heat reclamation aerospace aircraft engineering design onboard fuel production plants electronics construction products new elemental plaster formula higher durability strength cost efficiency cement concrete bio medical health care fresh water water production drinking crop irrigation agricultural needs,0.7160037159919739,0.8113000988960266,1.1708691717830177,Target
